box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.086,0.068,0.198,0.138,0.131,0.16,0.322,0.076,0.123,0.153,0.19999999999999996,0.7,4.671,24.453,0,-50.0
-0.253,0.058,0.168,0.118,0.175,0.174,-10.0,-10.0,0.0,0.0,-0.25,0.25,16.776,37.961,-30.0,0
-0.248,0.058,0.168,0.118,0.183,0.187,-0.435,0.087,0.175,0.174,-0.45,0.05,5.553,9.255,0,0
-0.255,0.059,0.132,0.11,0.115,0.137,-10.0,-10.0,0.0,0.0,-0.25,0.25,-0.911,15.148,0,-50.0
-0.275,0.054,0.132,0.11,0.154,0.15,-0.042,0.068,0.115,0.137,-0.25,0.25,-4.361,9.398,0,-50.0
0.155,0.093,0.153,0.187,0.199,0.119,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.7,-0.678,15.536,0,-50.0
0.155,0.093,0.153,0.187,0.161,0.163,-0.195,0.049,0.199,0.119,-0.04999999999999999,0.45,3.945,23.243,0,-50.0
-0.346,0.095,0.137,0.192,0.102,0.171,-10.0,-10.0,0.0,0.0,-0.35,0.15,-13.474,4.209,-30.0,-50.0
-1.117,0.068,0.137,0.192,0.132,0.109,-0.346,0.085,0.102,0.171,0.15000000000000002,0.8,-7.81,3.649,0,-50.0
0.463,0.088,0.107,0.177,0.176,0.184,-10.0,-10.0,0.0,0.0,-0.2,1.0,10.022,33.371,0,-50.0
0.462,0.088,0.107,0.177,0.139,0.101,-0.199,0.091,0.176,0.184,-0.3,0.3,-8.816,11.973,-30.0,-50.0
0.298,0.061,0.177,0.124,0.135,0.151,-10.0,-10.0,0.0,0.0,0.30000000000000004,0.8,-3.102,11.496,0,-50.0
0.297,0.061,0.177,0.124,0.119,0.183,-0.079,0.067,0.135,0.151,-0.2,0.1,-5.378,7.702,0,-50.0
