box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
-0.414,0.069,0.112,0.142,0.194,0.132,-0.419,0.223,0.167,0.151,-0.417,0.481,40.761,67.936,0,0
0.197,0.047,0.171,0.145,0.125,0.1,-10.0,-10.0,0.0,0.0,0.18,0.306,9.811,66.352,-100.0,-50.0
0.192,0.049,0.175,0.149,0.19,0.191,0.137,0.052,0.125,0.104,0.139,0.346,15.057,41.762,0,-50.0
0.207,0.081,0.17,0.178,0.115,0.176,-10.0,-10.0,0.0,0.0,0.214,0.404,50.238,83.73,0,0
0.207,0.096,0.167,0.18,0.117,0.19,0.212,0.263,0.118,0.181,0.213,0.595,45.748,76.248,0,0
-0.362,0.092,0.146,0.173,0.125,0.134,-10.0,-10.0,0.0,0.0,-0.371,0.365,53.59,89.318,0,0
-0.347,0.081,0.141,0.18,0.17,0.171,-0.371,0.244,0.118,0.134,-0.37,0.538,44.334,73.891,0,0
-0.25,0.063,0.146,0.125,0.105,0.138,-10.0,-10.0,0.0,0.0,-0.279,0.308,49.775,82.959,0,0
-0.258,0.058,0.141,0.12,0.12,0.149,-0.278,0.194,0.105,0.127,-0.278,0.465,44.074,73.458,0,0
-0.126,0.068,0.162,0.126,0.135,0.129,-10.0,-10.0,0.0,0.0,-0.158,0.312,48.94,81.567,0,0
-0.126,0.069,0.154,0.131,0.162,0.12,-0.144,0.193,0.127,0.146,-0.157,0.431,25.926,76.544,-100.0,0
0.331,0.06,0.191,0.124,0.145,0.199,-10.0,-10.0,0.0,0.0,0.352,0.375,48.444,80.741,0,0
0.311,0.066,0.201,0.13,0.182,0.154,0.348,0.217,0.155,0.188,0.351,0.535,44.127,73.545,0,0
0.078,0.085,0.176,0.174,0.111,0.137,-10.0,-10.0,0.0,0.0,0.043,0.354,48.178,80.297,0,0
0.073,0.079,0.187,0.169,0.142,0.138,0.042,0.233,0.118,0.146,0.043,0.491,42.106,70.177,0,0
-0.129,0.107,0.155,0.195,0.115,0.131,-10.0,-10.0,0.0,0.0,-0.165,0.367,47.503,79.173,0,0
-0.142,0.097,0.14,0.197,0.162,0.187,-0.171,0.252,0.12,0.127,-0.166,0.556,40.729,67.883,0,0
0.042,0.06,0.125,0.132,0.163,0.163,-10.0,-10.0,0.0,0.0,0.039,0.341,54.543,90.906,0,0
0.044,0.062,0.12,0.123,0.189,0.16,0.047,0.202,0.163,0.172,0.039,0.499,47.111,78.52,0,0
0.064,0.053,0.163,0.122,0.171,0.118,-10.0,-10.0,0.0,0.0,0.068,0.296,37.001,95.002,-100.0,0
0.069,0.065,0.168,0.124,0.143,0.161,0.069,0.19,0.168,0.121,0.053,0.458,48.856,81.428,0,0
0.081,0.067,0.179,0.14,0.105,0.124,-10.0,-10.0,0.0,0.0,0.081,0.32,47.568,79.28,0,0
0.08,0.081,0.176,0.143,0.132,0.164,0.079,0.217,0.102,0.124,0.08,0.475,43.281,72.136,0,0
0.228,0.074,0.157,0.159,0.147,0.144,-10.0,-10.0,0.0,0.0,0.231,0.35,58.025,96.71,0,0
0.235,0.09,0.147,0.165,0.109,0.196,0.238,0.236,0.15,0.136,0.234,0.547,47.677,79.462,0,0
0.299,0.073,0.163,0.162,0.13,0.196,-10.0,-10.0,0.0,0.0,0.291,0.407,52.759,87.932,0,0
0.305,0.071,0.15,0.16,0.11,0.174,0.288,0.248,0.129,0.197,0.275,0.581,44.939,74.899,0,0
0.227,0.09,0.182,0.18,0.117,0.133,-10.0,-10.0,0.0,0.0,0.206,0.364,49.895,83.159,0,0
0.217,0.085,0.193,0.174,0.122,0.092,0.211,0.051,0.12,0.135,0.206,0.464,-6.028,39.952,-100.0,-50.0
-0.058,0.086,0.098,0.156,0.131,0.113,-10.0,-10.0,0.0,0.0,-0.054,0.318,-0.542,49.096,-100.0,-50.0
-0.185,0.049,0.1,0.156,0.132,0.183,-0.046,0.048,0.121,0.104,-0.049,0.337,-9.213,17.977,-100.0,0
-0.066,0.104,0.175,0.181,0.117,0.159,-10.0,-10.0,0.0,0.0,-0.043,0.387,50.895,84.825,0,0
-0.06,0.096,0.174,0.193,0.11,0.102,0.017,0.041,0.121,0.147,-0.043,0.492,-16.379,22.701,-100.0,-50.0
0.285,0.087,0.183,0.174,0.126,0.14,-10.0,-10.0,0.0,0.0,0.257,0.37,51.618,86.031,0,0
0.281,0.09,0.17,0.179,0.196,0.171,0.262,0.245,0.117,0.146,0.258,0.546,45.628,76.048,0,0
-0.083,0.097,0.152,0.184,0.13,0.119,-10.0,-10.0,0.0,0.0,-0.125,0.344,-7.272,37.879,-100.0,-50.0
-0.174,0.058,0.155,0.173,0.201,0.103,-0.119,0.057,0.13,0.112,-0.119,0.269,-14.194,26.342,-100.0,-50.0
-0.163,0.088,0.199,0.196,0.177,0.169,-10.0,-10.0,0.0,0.0,-0.18,0.407,55.631,92.719,0,0
-0.182,0.098,0.19,0.184,0.109,0.1,-0.186,0.072,0.177,0.168,-0.179,0.509,-7.422,37.63,-100.0,-50.0
0.457,0.051,0.204,0.119,0.103,0.166,-10.0,-10.0,0.0,0.0,0.444,0.339,41.739,69.566,0,0
0.468,0.065,0.188,0.134,0.2,0.128,0.445,0.212,0.101,0.172,0.443,0.467,39.126,65.211,0,0
-0.048,0.086,0.165,0.151,0.163,0.107,-10.0,-10.0,0.0,0.0,-0.048,0.32,-2.404,45.993,-100.0,-50.0
-0.159,0.077,0.154,0.162,0.142,0.141,-0.041,0.049,0.154,0.1,-0.049,0.3,-14.807,25.321,-100.0,-50.0
0.482,0.071,0.184,0.148,0.142,0.101,-10.0,-10.0,0.0,0.0,0.409,0.288,7.403,45.673,-100.0,0
0.472,0.069,0.184,0.137,0.165,0.117,0.417,0.193,0.128,0.102,0.429,0.406,7.923,46.539,-100.0,0
-0.07,0.104,0.196,0.195,0.154,0.118,-10.0,-10.0,0.0,0.0,-0.102,0.361,29.792,82.988,-100.0,0
-0.072,0.095,0.203,0.194,0.142,0.118,-0.093,0.242,0.16,0.118,-0.119,0.481,22.823,71.372,-100.0,0
-0.005,0.102,0.136,0.175,0.106,0.12,-10.0,-10.0,0.0,0.0,-0.008,0.35,52.71,87.851,0,0
