box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.18,0.084,0.155,0.169,0.152,0.132,-10.0,-10.0,0.0,0.0,0.179,0.35,58.283,97.139,0,0
0.18,0.084,0.155,0.169,0.145,0.136,0.183,0.234,0.152,0.132,0.173,0.486,51.013,85.022,0,0
0.437,0.085,0.146,0.171,0.131,0.189,-10.0,-10.0,0.0,0.0,0.429,0.409,55.272,92.12,0,0
0.437,0.085,0.146,0.171,0.126,0.153,0.432,0.265,0.131,0.189,0.428,0.562,49.078,81.798,0,0
0.206,0.051,0.195,0.104,0.122,0.131,-10.0,-10.0,0.0,0.0,0.213,0.284,44.409,74.016,0,0
0.205,0.051,0.195,0.104,0.179,0.148,0.21,0.169,0.122,0.131,0.212,0.432,43.015,71.692,0,0
-0.383,0.059,0.191,0.119,0.145,0.142,-10.0,-10.0,0.0,0.0,-0.398,0.31,49.02,81.7,0,0
-0.383,0.059,0.191,0.119,0.142,0.159,-0.397,0.189,0.145,0.142,-0.401,0.469,44.506,74.178,0,0
-0.106,0.075,0.153,0.152,0.129,0.157,-10.0,-10.0,0.0,0.0,-0.141,0.358,47.238,78.73,0,0
-0.106,0.075,0.153,0.152,0.197,0.145,-0.137,0.23,0.129,0.157,-0.14,0.503,40.509,67.516,0,0
-0.107,0.081,0.144,0.163,0.152,0.111,-10.0,-10.0,0.0,0.0,-0.115,0.323,-0.504,49.16,-100.0,-50.0
-0.536,0.049,0.144,0.163,0.152,0.189,-0.097,0.055,0.152,0.111,-0.1,0.349,-27.951,3.414,-100.0,-50.0
-0.007,0.057,0.182,0.115,0.17,0.12,-10.0,-10.0,0.0,0.0,-0.006,0.284,34.074,90.124,-100.0,0
-0.008,0.057,0.182,0.115,0.151,0.198,-0.007,0.174,0.17,0.12,-0.024,0.482,47.31,78.851,0,0
-0.205,0.085,0.16,0.172,0.104,0.186,-10.0,-10.0,0.0,0.0,-0.258,0.407,41.511,69.186,0,0
-0.205,0.085,0.16,0.172,0.179,0.138,-0.259,0.264,0.104,0.186,-0.258,0.545,36.291,60.485,0,0
-0.23,0.085,0.199,0.172,0.144,0.117,-10.0,-10.0,0.0,0.0,-0.26,0.338,-6.442,39.263,-100.0,-50.0
-0.156,0.049,0.199,0.172,0.166,0.131,-0.264,0.058,0.144,0.117,-0.266,0.297,-12.244,29.593,-100.0,-50.0
-0.182,0.056,0.197,0.114,0.155,0.125,-10.0,-10.0,0.0,0.0,-0.227,0.288,44.977,74.963,0,0
-0.182,0.056,0.197,0.114,0.133,0.161,-0.226,0.176,0.155,0.125,-0.246,0.449,39.254,65.425,0,0
0.463,0.083,0.15,0.167,0.103,0.152,-10.0,-10.0,0.0,0.0,0.417,0.368,43.8,73.0,0,0
0.464,0.083,0.15,0.167,0.126,0.168,0.427,0.242,0.103,0.152,0.418,0.536,40.909,68.183,0,0
0.032,0.057,0.173,0.116,0.122,0.175,-10.0,-10.0,0.0,0.0,0.032,0.34,47.028,78.38,0,0
0.031,0.057,0.173,0.116,0.125,0.137,0.027,0.203,0.122,0.175,0.03,0.477,42.849,71.416,0,0
-0.385,0.093,0.199,0.187,0.148,0.146,-10.0,-10.0,0.0,0.0,-0.386,0.382,51.982,86.637,0,0
-0.384,0.093,0.199,0.187,0.151,0.104,-0.39,0.072,0.148,0.146,-0.385,0.486,-3.995,43.34,-100.0,-50.0
-0.069,0.097,0.175,0.195,0.118,0.135,-10.0,-10.0,0.0,0.0,-0.061,0.379,50.897,84.829,0,0
-0.07,0.097,0.175,0.195,0.108,0.192,-0.059,0.262,0.118,0.135,-0.07,0.571,38.539,64.233,0,0
0.2,0.094,0.124,0.19,0.17,0.145,-10.0,-10.0,0.0,0.0,0.201,0.384,49.192,81.987,0,0
0.199,0.094,0.124,0.19,0.171,0.121,0.19,0.262,0.17,0.145,0.199,0.505,26.063,76.772,-100.0,0
0.166,0.093,0.138,0.188,0.198,0.179,-10.0,-10.0,0.0,0.0,0.166,0.416,49.375,82.292,0,0
0.165,0.093,0.138,0.188,0.127,0.16,0.163,0.277,0.198,0.179,0.195,0.576,38.272,63.788,0,0
-0.053,0.096,0.11,0.194,0.121,0.104,-10.0,-10.0,0.0,0.0,-0.059,0.347,-10.223,32.961,-100.0,-50.0
-0.208,0.054,0.11,0.194,0.136,0.178,-0.044,0.049,0.121,0.104,-0.047,0.329,-17.223,21.294,-100.0,-50.0
0.179,0.088,0.111,0.177,0.184,0.193,-10.0,-10.0,0.0,0.0,0.18,0.419,47.131,78.553,0,0
0.178,0.088,0.111,0.177,0.11,0.12,0.172,0.273,0.184,0.193,0.153,0.539,21.232,68.721,-100.0,0
-0.03,0.053,0.102,0.107,0.126,0.173,-10.0,-10.0,0.0,0.0,-0.03,0.329,54.916,91.527,0,0
-0.029,0.053,0.102,0.107,0.133,0.12,-0.023,0.193,0.126,0.173,-0.029,0.449,30.759,84.599,-100.0,0
-0.401,0.098,0.171,0.198,0.152,0.106,-10.0,-10.0,0.0,0.0,-0.418,0.353,-3.0,44.999,-100.0,-50.0
-0.404,0.049,0.171,0.198,0.125,0.189,-0.402,0.052,0.152,0.106,-0.42,0.344,-4.798,42.003,-100.0,-50.0
0.065,0.092,0.136,0.186,0.101,0.158,-10.0,-10.0,0.0,0.0,0.021,0.393,43.554,72.59,0,0
0.065,0.092,0.136,0.186,0.15,0.159,0.034,0.264,0.101,0.158,0.023,0.552,40.695,67.825,0,0
